pid,location,sesid,T,lotteryposition,transfer,payment,kull,sex,age,polparty,cr,cr1,cr2,cr3
401,2,9,3,Y,400,400,2,2,23,6,1,0,0,1
402,2,9,3,Y,0,900,2,1,23,6,3,1,1,1
403,2,9,3,Y,400,100,2,2,25,6,1,1,0,0
404,2,9,2,G,400,450,2,1,26,6,3,1,1,1
405,2,9,1,Y,400,700,2,1,27,3,3,1,1,1
406,2,9,2,Y,100,900,2,2,23,NA,2,1,1,0
407,2,9,2,Y,400,900,1,2,23,1,1,0,0,1
408,2,9,2,G,0,900,1,1,22,6,2,0,1,1
409,2,9,1,Y,400,300,2,1,26,6,2,0,1,1
410,2,9,1,Y,400,450,2,2,27,2,1,1,0,0
411,2,9,1,Y,400,550,1,1,20,6,1,0,0,1
412,2,9,2,G,400,900,2,2,23,1,1,0,0,1
413,2,9,1,Y,400,500,2,1,24,2,3,1,1,1
414,2,9,3,Y,300,500,1,1,21,7,0,0,0,0
415,2,9,2,G,0,500,2,1,25,6,0,0,0,0
416,2,9,1,Y,400,500,1,1,22,2,1,0,0,1
417,2,9,2,G,400,900,1,1,22,1,3,1,1,1
418,2,9,1,Y,100,500,1,2,20,2,1,0,0,1
419,2,9,2,Y,300,900,2,1,26,6,3,1,1,1
420,2,9,3,Y,400,500,1,1,21,NA,3,1,1,1
421,2,9,3,Y,400,400,2,1,24,NA,3,1,1,1
422,2,9,2,Y,0,200,1,1,20,NA,2,0,1,1
423,2,9,3,Y,300,500,2,2,24,2,0,0,0,0
424,2,9,2,Y,400,900,2,2,24,2,3,1,1,1
425,2,9,3,Y,0,600,2,1,28,6,3,1,1,1
426,2,9,3,Y,400,100,2,2,23,6,2,1,0,1
427,2,9,1,Y,400,500,2,1,26,6,2,0,1,1
428,2,9,2,Y,350,900,1,1,22,6,2,0,1,1
429,2,9,1,Y,400,500,1,2,25,5,0,0,0,0
430,2,9,3,Y,400,500,2,1,24,6,1,0,0,1
431,2,9,3,Y,400,100,2,2,24,2,1,1,0,0
432,2,9,1,Y,400,500,2,1,24,2,3,1,1,1
433,2,9,1,Y,400,500,2,1,25,6,3,1,1,1
434,2,9,2,Y,200,900,2,1,22,7,2,1,0,1
435,2,9,1,Y,400,500,1,1,23,NA,3,1,1,1
436,2,9,2,G,150,300,2,2,23,6,1,0,0,1
437,2,9,2,Y,0,900,1,1,21,2,2,1,0,1
438,2,9,1,Y,400,500,1,1,22,5,2,1,0,1
439,2,9,3,Y,400,100,2,2,23,2,3,1,1,1
440,2,9,3,Y,400,500,1,1,20,6,1,1,0,0
442,2,9,2,Y,300,700,1,1,20,6,2,1,0,1
443,2,9,3,Y,300,900,2,1,27,6,1,0,0,1
444,2,9,2,G,400,100,1,1,21,NA,3,1,1,1
445,2,9,3,Y,0,100,1,1,20,6,2,0,1,1
446,2,9,1,Y,300,100,2,1,24,2,2,0,1,1
447,2,9,1,Y,350,500,1,1,23,6,2,0,1,1
448,2,9,1,Y,400,500,2,1,26,2,3,1,1,1
449,2,9,3,Y,400,100,2,1,24,2,3,1,1,1
450,2,9,1,Y,400,100,1,2,19,6,0,0,0,0
451,2,9,3,Y,400,100,1,2,22,6,0,0,0,0
452,2,9,3,Y,400,500,2,2,23,2,2,1,1,0
453,2,9,2,Y,800,550,2,1,24,6,3,1,1,1
455,2,9,2,Y,800,100,2,1,26,2,1,0,0,1
456,2,9,2,Y,400,500,1,2,20,NA,0,0,0,0
457,2,9,1,Y,400,100,1,1,20,6,0,0,0,0
458,2,9,2,G,500,800,1,2,21,6,3,1,1,1
459,2,9,1,Y,200,500,2,2,37.25,2,2,1,0,1
460,2,9,3,Y,0,100,1,1,22,6,3,1,1,1
